,country,Lat,Long_,confirmed,deaths,recovered,active,mortality,ISO3
82,Iraq,33.223191,43.679291,564200.0,12432.0,493567.0,58201.0,2.203473945409429,IRQ
83,Ireland,53.1424,-7.6921,74246.0,2099.0,23364.0,48783.0,2.827088327990733,IRL
84,Israel,31.046051,34.851612,344906.0,2917.0,329368.0,12621.0,0.8457376792517382,ISR
85,Italy,41.8719,12.5674,1728878.0,60078.0,913494.0,755306.0,3.4749704721790664,ITA
86,Jamaica,18.1096,-77.2975,11120.0,265.0,6998.0,3857.0,2.3830935251798557,JAM
87,Japan,36.204824,138.252924,162901.0,2259.0,135121.0,25521.0,1.3867318187119784,JPN
88,Jordan,31.24,36.51,240089.0,3056.0,187444.0,49589.0,1.2728613139294178,JOR
89,Kazakhstan,48.0196,66.9237,180089.0,2488.0,151755.0,25846.0,1.3815391278756617,KAZ
90,Kenya,-0.0236,37.9062,88380.0,1526.0,68929.0,17925.0,1.7266349852907898,KEN
91,"Korea, South",35.90775700000001,127.766922,38161.0,549.0,29301.0,8311.0,1.4386415450328869,KOR
92,Kosovo,42.602636,20.902977,42805.0,1106.0,28504.0,13195.0,2.5838103025347507,XKS
93,Kuwait,29.31166,47.481766,144369.0,891.0,140035.0,3443.0,0.6171685057041332,KWT
94,Kyrgyzstan,41.20438,74.766098,74973.0,1295.0,66993.0,6685.0,1.7272884905232548,KGZ
95,Laos,19.85627,102.495496,39.0,0.0,26.0,13.0,0.0,LAO
96,Latvia,56.8796,24.6032,21313.0,262.0,1866.0,19185.0,1.229296673391827,LVA
97,Lebanon,33.8547,35.8623,137112.0,1099.0,90229.0,45784.0,0.8015345119318513,LBN
98,Lesotho,-29.61,28.2336,2150.0,44.0,1278.0,828.0,2.046511627906977,LSO
99,Liberia,6.4280550000000005,-9.429499,1676.0,83.0,1358.0,235.0,4.9522673031026265,LBR
100,Libya,26.3351,17.228331,86580.0,1231.0,56702.0,28647.0,1.421806421806422,LBY
101,Liechtenstein,47.14,9.55,1396.0,17.0,1183.0,196.0,1.2177650429799427,LIE
102,Lithuania,55.1694,23.8813,74649.0,626.0,30390.0,43633.0,0.8385912738281825,LTU
103,Luxembourg,49.8153,6.1296,37017.0,345.0,28029.0,8643.0,0.9320042142799254,LUX
104,MS Zaandam,,,9.0,2.0,7.0,0.0,22.222222222222218,
105,Madagascar,-18.766947,46.869107,17513.0,255.0,16927.0,331.0,1.4560612116713298,MDG
106,Malawi,-13.2543,34.3015,6051.0,185.0,5476.0,390.0,3.0573458932407864,MWI
107,Malaysia,4.210483999999999,101.975766,72694.0,382.0,61273.0,11039.0,0.5254904118634275,MYS
108,Maldives,3.2028,73.2207,13198.0,47.0,12321.0,830.0,0.3561145628125473,MDV
